yali1,yali0,ec,n_mnxr,n_balanced_mnxr,rep_mnxr,mnxr_unique,rep_balanced,priority_pathway,pathways,tier,note
YALI1_E03846g,YALI0E03190g,2.4.1.258,3,1,MNXR121811,no,yes,no,00510;00513;01100,T3_ambiguous,EC->3 MNXR (1 balanced)
YALI1_E04312g,YALI0E03586g,2.5.1.18,87,52,MNXR104634,no,yes,no,00480;01100,T3_ambiguous,EC->87 MNXR (52 balanced)
YALI1_E07508g,YALI0E06215g,4.4.1.17,7,4,MNXR115964,no,yes,no,00860;01100,T3_ambiguous,EC->7 MNXR (4 balanced)
YALI1_E09357g,YALI0E07788g,1.3.1.22;1.3.1.94,23,18,MNXR104531,no,yes,no,00510;01100,T3_ambiguous,EC->23 MNXR (18 balanced)
YALI1_E11402g,YALI0E09262g,4.4.1.36,6,1,MNXR121397,no,yes,no,00340;01100;01110,T3_ambiguous,EC->6 MNXR (1 balanced)
YALI1_E12561g,YALI0E09999g,2.3.1.271,2,2,MNXR169170,no,yes,no,00330;01100;01110,T3_ambiguous,EC->2 MNXR (2 balanced)
YALI1_E13472g,YALI0E10571g,2.8.1.8,13,1,MNXR123419,no,yes,no,00785;01100;01240,T3_ambiguous,EC->13 MNXR (1 balanced)
YALI1_E14762g,YALI0E11979g,6.2.1.12,20,16,MNXR107386,no,yes,no,00130;01100;01110,T3_ambiguous,EC->20 MNXR (16 balanced)
YALI1_E15229g,YALI0E12309g,3.4.24.84,5,2,MNXR117100,no,yes,no,00900;01110,T3_ambiguous,EC->5 MNXR (2 balanced)
YALI1_E15398g,YALI0E12419g,6.2.1.12,20,16,MNXR107386,no,yes,no,00130;01100;01110,T3_ambiguous,EC->20 MNXR (16 balanced)
YALI1_E17389g,YALI0E14366g,1.6.5.2,117,78,MNXR101871,no,yes,no,00130;01100;01110;01240,T3_ambiguous,EC->117 MNXR (78 balanced)
YALI1_E20544g,YALI0E17281g,1.6.5.2,117,78,MNXR101871,no,yes,no,00130;01100;01110;01240,T3_ambiguous,EC->117 MNXR (78 balanced)
YALI1_E21962g,YALI0E18260g,2.1.1.359,2,1,MNXR164964,no,yes,no,00310;01100,T3_ambiguous,EC->2 MNXR (1 balanced)
YALI1_E23994g,YALI0E20185g,3.2.1.52,47,9,MNXR117665,no,yes,no,00520;00531;01100;01501,T3_ambiguous,EC->47 MNXR (9 balanced)
YALI1_E24201g,YALI0E20405g,6.2.1.12,20,16,MNXR107386,no,yes,no,00130;01100;01110,T3_ambiguous,EC->20 MNXR (16 balanced)
YALI1_E24618g,YALI0E20735g,1.4.3.3,32,23,MNXR100352,no,yes,no,00260;00311;00330;00470;01100;01110,T3_ambiguous,EC->32 MNXR (23 balanced)
