met_id,met_name,compartment,formula,charge,has_annotation,annotation_keys,has_bigg,has_kegg,has_metanetx,has_chebi,has_hmdb,has_inchikey,has_pubchem,has_seed,has_formula,has_charge,n_reactions,base_name,same_base_annotated,annotated_twin_id
m1090[C_ex],L-tyrosine_C9H11NO3,C_ex,C9H11NO3,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-tyrosine,True,m992[C_cy]
m1091[C_ex],L-valine_C5H11NO2,C_ex,C5H11NO2,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,lipidmaps,lipidmapsM,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-valine,True,m1008[C_cy]
m1092[C_ex],lanosterol_C30H50O,C_ex,C30H50O,0,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,lipidmaps,lipidmapsM,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,slm,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,lanosterol,True,m239[C_em]
m1093[C_mi],dAMP_C10H14N5O6P,C_mi,C10H14N5O6P,-2,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,1,dAMP,True,m89[C_cy]
m1094[C_mi],dGMP_C10H14N5O7P,C_mi,C10H14N5O7P,-2,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,1,dGMP,True,m465[C_cy]
m1095[C_ex],nicotinate_C6H5NO2,C_ex,C6H5NO2,-1,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,nicotinate,True,m824[C_cy]
m1096[C_cy],stearate_C18H36O2,C_cy,C18H36O2,0,False,,False,False,False,False,False,False,False,False,True,True,7,stearate,False,
m1097[C_ex],ornithine_C5H13N2O2,C_ex,C5H13N2O2,0,True,"chebi,envipath,envipathM,inchi,inchikey,kegg.compound,keggC,lipidmaps,lipidmapsM,metacyc.compound,metacycM,metanetx.chemical,seed.compound,seedM",False,True,True,True,False,True,False,True,True,True,2,ornithine,True,m311[C_cy]
m1098[C_ex],(R)-pantothenate_C9H17NO5,C_ex,C9H17NO5,-1,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,lipidmaps,lipidmapsM,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,(R)-pantothenate,True,m856[C_cy]
m1099[C_ex],potassium_K.H,C_ex,,0,False,,False,False,False,False,False,False,False,False,False,True,2,potassium_K.H,False,
m1100[C_cy],potassium_K.H,C_cy,,0,False,,False,False,False,False,False,False,False,False,False,True,1,potassium_K.H,False,
m1101[C_ex],putrescine_C4H12N2,C_ex,C4H12N2,2,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,putrescine,True,m850[C_cy]
m1102[C_va],putrescine_C4H12N2,C_va,C4H12N2,2,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,1,putrescine,True,m850[C_cy]
m1103[C_ex],pyruvate_C3H4O3,C_ex,C3H4O3,-1,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,keggC,lipidmaps,lipidmapsM,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,slm,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,pyruvate,True,m4[C_cy]
m1104[C_ex],S-adenosyl-L-methionine_C15H22N6O5S,C_ex,C15H22N6O5S,1,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,S-adenosyl-L-methionine,True,m60[C_mi]
m1105[C_ex],S-methyl-L-methionine_C6H13NO2S,C_ex,C6H13NO2S,1,True,"chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",False,True,True,True,True,True,False,True,True,True,2,S-methyl-L-methionine,True,m1106[C_cy]
m1106[C_cy],S-methyl-L-methionine_C6H13NO2S,C_cy,C6H13NO2S,1,True,"chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",False,True,True,True,True,True,False,True,True,True,1,S-methyl-L-methionine,True,m1105[C_ex]
m1107[C_cy],sodium_Na.H,C_cy,,0,False,,False,False,False,False,False,False,False,False,False,True,1,sodium_Na.H,False,
m1108[C_ex],sodium_Na.H,C_ex,,0,False,,False,False,False,False,False,False,False,False,False,True,2,sodium_Na.H,False,
m1109[C_ex],spermidine_C7H19N3,C_ex,C7H19N3,3,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,spermidine,True,m467[C_cy]
