rxn_id,rxn_name,rxn_type,root_cause,detail,has_gpr,lb,ub,compartments,n_orphan_mets,n_deadend_mets,orphan_mets,deadend_mets,reaction_str
R491,isoleucine transaminase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_cy,0,0,,,m51[C_cy] + m743[C_cy] --> m10[C_cy] + m50[C_cy] + m744[C_cy]
R520,leucine transaminase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_cy,0,1,,m81[C_cy],m51[C_cy] + m775[C_cy] --> m50[C_cy] + m81[C_cy]
R573,NADH:ubiquinone oxidoreductase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_mi,0,0,,,m30[C_mi] + m468[C_mi] --> m27[C_mi] + m471[C_mi]
R696,reduced glutathione via ABC system,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,1,,m925[C_va],m141[C_cy] + m32[C_cy] + m530[C_cy] --> m143[C_cy] + m35[C_cy] + m925[C_va]
R746,taurcholate via ABC system,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",1,1,m965[C_cy],m966[C_va],m141[C_cy] + m32[C_cy] + m965[C_cy] --> m143[C_cy] + m35[C_cy] + m966[C_va]
R795,"V-ATPase, vacuole",transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,2.0 m10[C_cy] + m141[C_cy] + m32[C_cy] --> 2.0 m1007[C_va] + m143[C_cy] + m35[C_cy]
R796,valine transaminase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_cy,0,0,,,m1008[C_cy] + m51[C_cy] --> m50[C_cy] + m67[C_cy]
R853,glutathione transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,1,,m925[C_va],m530[C_cy] --> m925[C_va]
R859,glycogen vacuolar 'transport' via autophagy,transport,bound_zero,lb==ub==0,False,0.0,0.0,"C_cy,C_va",0,1,,m1058[C_va],m549[C_cy] --> m1058[C_va]
R869,L-asparagine transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m319[C_cy] --> m1066[C_va] + m10[C_cy]
R870,L-aspartate transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m1066[C_va] --> m10[C_cy] + m319[C_cy]
R871,L-aspartate transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m1067[C_va] --> m10[C_cy] + m267[C_cy]
R876,L-glutamate transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m1071[C_va] --> m10[C_cy] + m50[C_cy]
R878,L-glutamine transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m130[C_cy] --> m1073[C_va] + m10[C_cy]
R879,L-glutamine transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m1073[C_va] --> m10[C_cy] + m130[C_cy]
R883,L-isoleucine transport,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m1076[C_va] --> m10[C_cy] + m743[C_cy]
R887,"L-leucine transport, vacuoluar",transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_cy,C_va",0,0,,,m1007[C_va] + m775[C_cy] --> m1080[C_va] + m10[C_cy]
