reaction_id,reaction_name,reaction_type,has_annotation,has_real_annotation,annotation_keys,has_bigg,has_kegg,has_metanetx,has_rhea,has_ec,has_sbo,has_gpr,n_genes,gene_has_ec,gene_ec_codes,gene_has_uniprot,n_metabolites,met_mnxm_coverage,met_all_have_mnxm,compartments,is_blocked
R2187,"Phosphatidyl-N-methylethanolamine N-methyltransferase, yeast-specific",transport,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,1,False,,False,5,1.0,True,"C_cy,C_em",False
R2188,NO NAME,metabolic,False,False,,False,False,False,False,False,False,True,2,True,4.3.3.6|3.5.1.2,True,8,1.0,True,C_cy,True
R2189,Pyridoxine:NADP+ 4-oxidoreductase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr",True,True,True,True,False,False,True,1,False,,True,5,1.0,True,C_cy,False
R2190,D-arabinitol:NAD+ 2-oxidoreductase,metabolic,False,False,,False,False,False,False,False,False,True,1,True,1.1.1.250,True,5,1.0,True,C_cy,False
R2191,NO NAME,metabolic,False,False,,False,False,False,False,False,False,True,1,False,,True,7,1.0,True,C_cy,True
R2192,Phenylacetaldehyde:NAD+ oxidoreductase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,2,False,,True,6,1.0,True,C_cy,True
R2193,iron (II) transport,transport,True,True,"bigg.reaction,biggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,False,True,True,False,False,True,1,False,,True,2,0.0,False,"C_cy,C_ex",True
R2194,triacylglycerol acylhydrolase,metabolic,True,True,"kegg.reaction,keggr,metanetx.reaction",False,True,True,False,False,False,True,5,True,3.1.1.3|3.1.1.-,True,4,1.0,True,C_er,True
R2195,L-Cysteine:oxygen oxidoreductase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,3.4.19.12,True,4,1.0,True,C_cy,False
R2196,3-sulfino-L-alanine:2-oxoglutarate aminotransferase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,2,True,2.6.1.1,True,5,1.0,True,C_cy,False
R2197,NO NAME,metabolic,False,False,,False,False,False,False,False,False,False,0,False,,False,5,1.0,True,C_cy,False
