layer,n_chains,combination,member_chains,prob,cumulative_coverage,verdict
tri,3,lauroyl+linoleoyl+stearoyl,lauroyl-CoA;linoleoyl-CoA;stearoyl-CoA,0.000134878,0.9993,dead
tri,3,lauroyl+palmitoyl+stearoyl,lauroyl-CoA;palmitoyl-CoA;stearoyl-CoA,0.000128778,0.9995,dead
tri,3,linoleoyl+myristoyl+stearoyl,linoleoyl-CoA;myristoyl-CoA;stearoyl-CoA,8.99187e-05,0.9996,dead
tri,3,myristoyl+palmitoyl+stearoyl,myristoyl-CoA;palmitoyl-CoA;stearoyl-CoA,8.5852e-05,0.9996,dead
tri,3,stearoyl+stearoyl+stearoyl,stearoyl-CoA;stearoyl-CoA;stearoyl-CoA,6.64224e-05,0.9997,dead
tri,3,lauroyl+palmitoleoyl+palmitoleoyl,lauroyl-CoA;palmitoleoyl-CoA;palmitoleoyl-CoA,5.97844e-05,0.9998,dead
tri,3,lauroyl+palmitoleoyl+stearoyl,lauroyl-CoA;palmitoleoyl-CoA;stearoyl-CoA,5.83415e-05,0.9998,dead
tri,3,myristoyl+palmitoleoyl+palmitoleoyl,myristoyl-CoA;palmitoleoyl-CoA;palmitoleoyl-CoA,3.98562e-05,0.9999,dead
tri,3,myristoyl+palmitoleoyl+stearoyl,myristoyl-CoA;palmitoleoyl-CoA;stearoyl-CoA,3.88943e-05,0.9999,dead
tri,3,lauroyl+myristoyl+oleoyl,lauroyl-CoA;myristoyl-CoA;oleoyl-CoA,1.66217e-05,0.9999,dead
tri,3,lauroyl+stearoyl+stearoyl,lauroyl-CoA;stearoyl-CoA;stearoyl-CoA,1.42334e-05,0.9999,dead
tri,3,lauroyl+lauroyl+oleoyl,lauroyl-CoA;lauroyl-CoA;oleoyl-CoA,1.24663e-05,1.0000,dead
tri,3,myristoyl+stearoyl+stearoyl,myristoyl-CoA;stearoyl-CoA;stearoyl-CoA,9.48891e-06,1.0000,dead
tri,3,lauroyl+linoleoyl+myristoyl,lauroyl-CoA;linoleoyl-CoA;myristoyl-CoA,6.42277e-06,1.0000,dead
tri,3,lauroyl+myristoyl+palmitoyl,lauroyl-CoA;myristoyl-CoA;palmitoyl-CoA,6.13229e-06,1.0000,dead
