reaction_id,reaction_name,type,n_metabolites,compartments,gene_reaction_rule,metabolite_mnxm_ids,metabolite_bigg_ids
R1975,2-oxoadipate dehydrogenase,has_GPR,7,C_mi,YALI1F31153g,"MNXM64096,MNXM1094981,MNXM263,MNXM1,MNXM10,MNXM13,MNXM1092999","—,—,2oxoadp,h,nadh,co2,gcoa"
R1977,FAD:ubiquinone oxidoreductase,has_GPR,4,C_mi,YALI1F31153g,"MNXM1371360,MNXM1105762,MNXM5319,MNXM1364149","—,fadh2,q6h2,fad"
R1985,Palatinose hydrolase,no_GPR,4,C_ex,,"WATER,MNXM588664,MNXM1364061,MNXM1363862","h2o,—,glc__D,—"
R1993,D-glucosamine transport via diffusion,transport,2,"C_cy,C_ex",,"MNXM735657,MNXM735657","—,—"
R2005,3-oxalomalate(3-) exchange,exchange,1,C_ex,,MNXM3850,—
R2018,Gly-Asp exchange,exchange,1,C_ex,,—,—
R2021,cytosol nonspecific dipeptidase,no_GPR,4,C_va,,"WATER,—,MNXM1364497,MNXM12053","h2o,—,asp__L,—"
R2026,Gly-Glu exchange,exchange,1,C_ex,,—,—
R2029,cytosol nonspecific dipeptidase,no_GPR,4,C_va,,"WATER,—,MNXM741173,MNXM12053","h2o,—,glu__L,—"
R2030,Glycine transport (vacuole),transport,4,"C_cy,C_va",,"MNXM1,MNXM12053,MNXM1,MNXM12053","h,—,h,—"
R2031,Ala-Gly exchange,exchange,1,C_ex,,—,—
R2034,cytosol nonspecific dipeptidase,no_GPR,4,C_va,,"WATER,—,MNXM12053,MNXM1105732","h2o,—,—,ala__L"
R2036,Gly-Pro exchange,exchange,1,C_ex,,—,—
R2039,cytosol nonspecific dipeptidase,no_GPR,4,C_va,,"WATER,—,MNXM12053,MNXM114","h2o,—,—,pro__L"
R2040,proline transport (vacuole),transport,4,"C_cy,C_va",,"MNXM1,MNXM114,MNXM1,MNXM114","h,pro__L,h,pro__L"
