metabolite_id,name,formula,is_lipid,n_reactions_solved,source_reactions
m1709[C_go],inositol-P-ceramide C-(C24)_,C48H96NO13P,yes,1,R1827
m1710[C_go],inositol-P-ceramide C-(C26)_,C50H100NO13P,yes,1,R1828
m1715[C_go],inositol-P-ceramide D-(C24)_,C48H96NO14P,yes,1,R1833
m1716[C_go],inositol-P-ceramide D-(C26)_,C50H100NO14P,yes,1,R1834
m1654[C_mm],monolysocardiolipin_,C63H119O16P2,yes,1,R1723
m514[C_pe],octadec-9-ynoyl-CoA_,C39H74N7O17P3S,yes,1,R296
m1938[C_cy],omega-hydroxy-dodecanoate,C12H24O3,yes,1,R2258
m1942[C_cy],omega-hydroxy-hexadecanoate,C16H32O3,yes,1,R2262
m1935[C_cy],omega-oxo-decanoate,C10H17O3,yes,1,R2253
m1939[C_cy],omega-oxo-dodecanoate,C12H21O3,yes,1,R2257
m1943[C_cy],omega-oxo-hexadecanoate,C16H29O3,yes,1,R2261
m378[C_em],phosphatidate,C39H73O8P,yes,1,R1843
m1705[C_lp],phosphatidate,C39H73O8P,yes,1,R1846
m1993[C_cy],phosphatidate,C39H73O8P,yes,1,R2144
m1675[C_en],phosphatidate,C39H74O8P,yes,1,R1743
m383[C_mm],phosphatidate,C39H73O8P,yes,1,R1791
m1688[C_gm],phosphatidate,C39H73O8P,yes,1,R1796
m1686[C_vm],phosphatidate,C39H73O8P,yes,1,R1800
m1396[C_cy],phosphatidyl-L-serine_C8H11NO10PR2,C23H47NO7P,yes,1,R2052
m872[C_gm],phosphatidyl-L-serine_C8H11NO10PR2,C23H47NO7P,yes,1,R2053
m1631[C_em],phosphatidyl-L-serine_C8H11NO10PR2,C23H47NO7P,yes,1,R1704
m868[C_mm],phosphatidyl-L-serine_C8H11NO10PR2,C23H47NO7P,yes,1,R1792
m875[C_vm],phosphatidyl-L-serine_C8H11NO10PR2,C23H47NO7P,yes,1,R1802
m1665[C_en],phosphatidyl-L-serine_C8H11NO10PR2,C23H47NO7P,yes,1,R1808
m1719[C_em],"phosphatidyl-N,N-dimethylethanolamine_C8H11NO10PR2",C43H82NO8P,yes,1,R1844
m1717[C_em],phosphatidyl-N-methylethanolamine,C42H80NO8P,yes,1,R1835
m1894[C_go],phosphatidylcholine,C44H87NO8P,yes,1,R2049
m1632[C_em],phosphatidylcholine_C10H18NO8PR2,C44H84NO8P,yes,1,R1726
m1659[C_en],phosphatidylcholine_C10H18NO8PR2,C44H87NO8P,yes,1,R1732
m1701[C_lp],phosphatidylcholine_C10H18NO8PR2,C44H87NO8P,yes,1,R1767
m791[C_mm],phosphatidylcholine_C10H18NO8PR2,C44H84NO8P,yes,1,R1794
m1397[C_cy],phosphatidylcholine_C10H18NO8PR2,C44H87NO8P,yes,1,R2050
m1633[C_em],phosphatidylethanolamine_C7H12NO8PR2,C41H78NO8P,yes,1,R1725
m1662[C_en],phosphatidylethanolamine_C7H12NO8PR2,C41H80NO8P,yes,1,R1734
m1700[C_lp],phosphatidylethanolamine_C7H12NO8PR2,C41H78NO8P,yes,1,R1787
m870[C_mm],phosphatidylethanolamine_C7H12NO8PR2,C41H78NO8P,yes,1,R1793
m877[C_vm],phosphatidylethanolamine_C7H12NO8PR2,C41H78NO8P,yes,1,R1803
m1398[C_cy],phosphatidylethanolamine_C7H12NO8PR2,C41H80NO8P,yes,1,R2051
m874[C_gm],phosphatidylethanolamine_C7H12NO8PR2,C22H48NO5P,yes,1,R630
m1650[C_mm],phosphatidylglycerol,C42H81O10P,yes,1,R1742
m1875[C_cy],propionyl-CoA,C24H39N7O17P3S,yes,1,R2024
m1647[C_em],sn-2-acyl-1-lysophosphatidylinositol_,C27H52O12P,yes,1,R1719
m1536[C_pe],"trans-2,cis-5-dodecadienoyl-CoA_",C33H52N7O17P3S,yes,1,R1495
m1541[C_pe],"trans-2,cis-5-tetradecadienoyl-CoA_",C35H56N7O17P3S,yes,1,R1498
m1539[C_pe],"trans-2,cis-7-hexadecadienoyl-CoA_",C37H61N7O17P3S,yes,1,R1497
m1534[C_pe],"trans-2,cis-7-tetradecadienoyl-CoA_",C35H57N7O17P3S,yes,1,R1494
m1532[C_pe],"trans-2,cis-9-hexadecadienoyl-CoA_",C37H62N7O17P3S,yes,1,R1493
m1537[C_pe],"trans-2,cis-9-octadecadienoyl-CoA_",C39H66N7O17P3S,yes,1,R1496
m1577[C_pe],"trans-2,trans-4-dodecadienoyl-CoA_",C33H50N7O17P3S,yes,1,R1554
m1578[C_pe],"trans-2,trans-4-tetradecadienoyl-CoA_",C35H54N7O17P3S,yes,1,R1555
m1573[C_pe],"trans-3,cis-5-dodecadienoyl-CoA_",C33H50N7O17P3S,yes,1,R1552
m1575[C_pe],"trans-3,cis-5-tetradecadienoyl-CoA_",C35H54N7O17P3S,yes,1,R1553
m1526[C_pe],trans-but-2-enoyl-CoA_,C25H40N7O17P3S,yes,1,R1487
