gene_id,ec_number,mnxr_id,bigg_reaction,kegg_reaction,metacyc_reaction,in_model,missing_metabolites,equation
YALI1E21128g,1.1.1.1,MNXR133209,,,,no,MNXM1|MNXM22881|MNXM2457|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM22881@MNXD1 = 1 MNXM2457@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR109409,,R05233,,no,MNXM1|MNXM5312|MNXM729378|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM5312@MNXD1 = 1 MNXM729378@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR130949,,,,no,MNXM1|MNXM165362|MNXM165363|MNXM8,1 MNXM10@MNXD1 + 1 MNXM165363@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM165362@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR95722,R_ALCD25xim,R02611,RXN-7700,no,MNXM1|MNXM2476|MNXM473|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM473@MNXD1 = 1 MNXM2476@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR130015,,,,no,MNXM1|MNXM168971|MNXM36620|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM36620@MNXD1 = 1 MNXM168971@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR111836,,R08281,,no,MNXM1|MNXM10616|MNXM2968|MNXM8,1 MNXM10616@MNXD1 + 1 MNXM8@MNXD1 = 1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM2968@MNXD1
YALI1E21128g,1.1.1.1,MNXR133666,,,,no,MNXM168352|MNXM168353|MNXM8,1 MNXM10@MNXD1 + 1 MNXM168353@MNXD1 = 1 MNXM168352@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR189842,TRETINOLOR1,R02124,RETINOL-DEHYDROGENASE-RXN,no,MNXM1|MNXM1363773|MNXM1364167|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1364167@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM1363773@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR130008,,,,no,MNXM163325|MNXM168968|MNXM8,1 MNXM10@MNXD1 + 1 MNXM163325@MNXD1 = 1 MNXM168968@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR178102,,,,no,MNXM15794|MNXM491162|MNXM8,1 MNXM10@MNXD1 + 1 MNXM15794@MNXD1 = 1 MNXM491162@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR133820,,,,no,MNXM1|MNXM2459|MNXM6648|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM6648@MNXD1 = 1 MNXM2459@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR132924,,,,no,MNXM1|MNXM8672,1 MNXM1@MNXD1 + 1 MNXM738702@MNXD1 + 1 MNXM8672@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM89612@MNXD1
YALI1E21128g,1.1.1.1,MNXR95725,R_ALCD2x,R00754,ALCOHOL-DEHYDROG-RXN,no,MNXM1|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM75@MNXD1 = 1 MNXM1108092@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR95718,R_ALCD23xim,,RXN-7657,no,MNXM1|MNXM5188|MNXM5189|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM5189@MNXD1 = 1 MNXM5188@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR122007,,,RXN-7706,no,MNXM1|MNXM14592|MNXM6829|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM6829@MNXD1 = 1 MNXM14592@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR115960,,,HEXANOL-RXN,no,MNXM1|MNXM18358|MNXM8|MNXM8718,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM8718@MNXD1 = 1 MNXM18358@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR95712,R_ALCD20y,R01550,ISOPROPANOL-DEHYDROGENASE-NADP+-RXN,no,MNXM1|MNXM3085|MNXM398,1 MNXM1@MNXD1 + 1 MNXM398@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM3085@MNXD1 + 1 MNXM5@MNXD1
YALI1E21128g,1.1.1.1,MNXR134137,,,,no,MNXM163158|MNXM727151|MNXM8,1 MNXM10@MNXD1 + 1 MNXM163158@MNXD1 = 1 MNXM727151@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR110813,,R07105,,no,MNXM1|MNXM3152|MNXM5666|MNXM8|WATER,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM5666@MNXD1 = 1 MNXM3152@MNXD1 + 1 MNXM8@MNXD1 + 1 WATER@MNXD1
YALI1E21128g,1.1.1.1,MNXR112092,R_CHOLD3,R08558,RXN-12582,no,MNXM1|MNXM457,1 MNXM1@MNXD1 + 1 MNXM457@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM90@MNXD1
YALI1E21128g,1.1.1.1,MNXR146992,,R00623,,no,MNXM277|MNXM730356|MNXM8,1 MNXM10@MNXD1 + 1 MNXM277@MNXD1 = 1 MNXM730356@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR131479,,,,no,MNXM1|MNXM13002|MNXM33011|MNXM8,1 MNXM10@MNXD1 + 1 MNXM13002@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM33011@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR176427,,,,no,MNXM1|MNXM528008|MNXM681350|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM528008@MNXD1 = 1 MNXM681350@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR151585,,,,no,MNXM730847|MNXM736420|MNXM8,1 MNXM10@MNXD1 + 1 MNXM736420@MNXD1 = 1 MNXM730847@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR195553,R_RDH2,R08382,,no,MNXM1|MNXM1363775|MNXM1364169|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1364169@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM1363775@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR94833,R_34DHOXPEGOX,R04880,RXN-10911,yes,,1 MNXM10@MNXD1 + 1 MNXM1633@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM2931@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR130009,,,,no,MNXM1|MNXM168969|MNXM35398|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM35398@MNXD1 = 1 MNXM168969@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR165428,,,,no,MNXM1|MNXM1364674|MNXM728684|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1364674@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM728684@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR130014,,,,no,MNXM1|MNXM117993|MNXM167445|MNXM8,1 MNXM10@MNXD1 + 1 MNXM117993@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM167445@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR107392,,R02229,CYCLOHEXANOL-DEHYDROGENASE-RXN,no,MNXM1|MNXM3002|MNXM8|MNXM835,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM835@MNXD1 = 1 MNXM3002@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR165427,,,,no,MNXM277|MNXM730353|MNXM8,1 MNXM10@MNXD1 + 1 MNXM277@MNXD1 = 1 MNXM730353@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR103538,R_RE1711C_2,,RXN-10781,no,MNXM1|MNXM1057|MNXM8|MNXM8173,1 MNXM1057@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM8173@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR121802,,,RXN-5424,no,MNXM1|MNXM2936|MNXM8|MNXM8732,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM2936@MNXD1 = 1 MNXM8732@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR147597,,R02577,,no,MNXM1|MNXM1364595|MNXM732881,1 MNXM1364595@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM732881@MNXD1 + 1 MNXM738702@MNXD1
YALI1E21128g,1.1.1.1,MNXR193473,,,RXN-21862,no,MNXM1|MNXM1132500|MNXM31608|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1132500@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM31608@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR114099,,R10783,RXN-1347,no,MNXM1|MNXM1108072|MNXM734892|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM734892@MNXD1 = 1 MNXM1108072@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR95708,R_ALCD1,R00605,METHANOL-DEHYDROGENASE-RXN,no,MNXM1|MNXM729799|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1364673@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM729799@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR130936,,,,no,MNXM165384|MNXM168514|MNXM8,1 MNXM10@MNXD1 + 1 MNXM168514@MNXD1 = 1 MNXM165384@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR146812,r1378,R06983,RXN0-276,yes,,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM741595@MNXD1 = 1 MNXM726277@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR133829,,,,no,MNXM1|MNXM4130|MNXM754|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM754@MNXD1 = 1 MNXM4130@MNXD1 + 1 MNXM8@MNXD1
